Opening,Plot,Tree.Number,Species,DBH,Height,FG/C/C,Core,FK/CK,DT/BT,Scar,Dmg.Primary,Dmg.Secondary,
154_75,1,1,Lw,20.1,12.7,1,1,,,,,,
154_75,1,2,Lw,16,12.7,1,1,,,,,,
154_75,1,3,Lw,17.6,11.9,1,1,FK3,,,,,
154_75,1,4,Lw,22,12.4,1,1,,,,,,
154_75,1,5,Lw,12.5,10.5,1,,,,,,,
154_75,1,6,Lw,4.5,4.7,3,,,DT,,,,
154_75,2,1,Lw,16.1,10.8,2,1,,,,,,
154_75,2,2,Lw,15.8,11.7,2,1,,,1,,,
154_75,2,3,Lw,17.3,12.7,2,1,,,,,,
154_75,2,4,Lw,16.7,11.8,2,1,,,,,,
154_75,3,1,Lw,15.8,10.9,2,1,,,,,,
154_75,3,2,Lw,14.9,11.4,2,1,,,,,,
154_75,3,3,Lw,17.1,11.9,2,1,3,,,twin leader,,
154_75,3,4,Lw,16.3,10.6,2,1,,,,,,
154_75,3,5,Lw,15.4,11.6,2,1,,,,,,
154_75,3,6,Ac,9.8,10.1,2,,,,,,,
154_75,3,7,Ac,4.9,4,4,,,,,,,
154_75,3,8,Ac,6.5,8.3,3,,2,,,,,
154_75,3,9,Ac,4.5,6.4,3,,,,1,,,
154_75,3,10,Ac,6.9,6.2,3,,,,1,,,
154_75,3,11,Bl,6.2,4.9,3,,,,,,,
154_75,4,1,Lw ,16.7,8.6,2,1,,,,,,
154_75,4,2,Lw,19.6,9.1,2,1,3,,,,,
154_75,4,3,Lw,16.2,10.8,2,1,,,,,,
154_75,4,4,Lw,19.1,11.1,2,1,,,,,,
154_75,5,1,Pl,16.2,8.3,2,1,3,,,,,
154_75,5,2,Lw,11.4,8.6,2,1,,,,CAD,,
154_75,5,3,Lw,13.7,6.4,3,,7,,,,,
154_75,5,4,Sx,8.2,3,4,,7,,,,,
154_75,5,5,Ls,16.7,7.5,2,,7,,,,,
154_75,5,6,Ac,5.5,5.5,3,,,,,,,
154_75,5,7,Bl,10.5,6.4,,,,,,,,
154_75,6,1,Pl,13.2,7,2,1,3,,,,,
154_75,6,2,Lw,14.6,7.8,2,1,,,,,,
154_75,6,3,Lw,5,4.2,3,,1,,,,,
154_75,6,4,Lw,4.2,4,3,,1,,,,,
154_75,6,5,At,4.6,6.1,3,,,,,,,
154_75,7,1,Lw,18.1,9.3,2,,,,,,,
154_75,7,2,Lw,8.2,5,3,,,3,,frost,,
154_75,7,3,Lw,8.8,6.5,3,,1,,,AH,,
154_75,7,4,Lw,19.2,11.6,1,1,,,,,,
154_75,7,5,Sx,6.3,4.1,3,,,,,,,
609_151,1,1,Ls,17.6,11.9,2,,,,,,,
609_151,1,2,Ls,16.1,10.5,2,,,,,,,
609_151,1,3,Ls,19.3,12.8,1,,,,,,,
609_151,1,4,Bl,8.5,8.1,3,,,,,,,
609_151,1,5,Bl,7.4,7.3,3,,,,,,,
609_151,1,6,Ls,12.8,8.7,3,,,,,,,
609_151,1,7,Ls,16.4,11.1,2,,,,,,,
609_151,1,8,Pl,19.8,11.2,2,1,,,,,,
609_151,1,9,Pl,17.7,11,2,1,3,,,IBM Green DSG,,
609_151,2,1,Ls,17,10.4,1,,,,,,,
609_151,2,2,Ls,17,10.9,1,,,,,,,
609_151,2,3,Ls,14.3,10.2,1,,,,,,,
609_151,2,4,Pl,7.5,9.5,2,1,,,,,,
609_151,2,5,Pl,10.8,10.9,1,1,,,,,,
609_151,2,6,Pl,13.3,8.5,2,1,,,,,,
609_151,2,7,Pl,11.3,8.7,2,1,,,,,,
609_151,2,8,Pw,5.7,4.2,4,,,,,,,
609_151,2,9,Pl,8.7,8.3,2,1,,,,,,
609_151,2,10,Pl,11.7,8.9,2,1,,,,,,
609_151,2,11,Ls,15.5,11.6,1,,,,,,,
609_151,2,12,Pl,11.7,8.5,2,,3,,,,,
609_151,3,1,Ls,17.5,10.9,1,,,,,,,
609_151,3,2,Pl,6.7,6,4,,,,,EST,Ht,
609_151,3,3,Lw,10.6,9.2,3,,3,,,,,
609_151,3,4,Pl,12.1,9.7,2,1,,,,,,
609_151,3,5,Pl,10.6,10,2,1,,,,,,
609_151,3,6,Pl,8.6,8.8,3,,,,,,,
609_151,3,7,Ls,19.2,13.9,1,,,,,,,
609_151,3,8,Pw,7.2,6.1,4,,,,,,,
609_151,3,9,Pl,11.1,9.4,2,1,,,,,,
609_151,3,10,Pl,10.1,8.9,2,,3,,,,,
609_151,3,11,Pl,16.3,9.7,2,1,,,,DSS,,
609_151,3,12,Pl,15.8,9.9,2,1,,,,,,
609_151,3,13,Pl,12,8.9,2,1,,,,DSG,,
609_151,3,14,Pw,4.7,3.6,4,,,,,,,
609_151,4,1,Lw,13.8,11,1,1,,,,,,
609_151,4,2,Pl,14.8,9.1,2,1,,,,DSS,IBM Green,
609_151,4,3,Pl,16.4,11.9,1,1,,,,,,
609_151,5,1,Sx,4.8,4,4,,,,,,,
609_151,5,2,Lw,12.5,11,2,1,,,,,,
609_151,5,3,Bl,12.1,8.3,3,,,,,,,
609_151,5,4,Lw,12.7,11,2,1,,,,,,
609_151,5,5,Lw,10.4,9.8,2,1,,,,,,
609_151,5,6,Sx,4.8,4.5,4,,,,,,,
609_151,6,1,Lw,14.5,12.5,1,1,,,,,,
609_151,6,2,Bl,5.2,3.2,4,,,,,,,
609_151,6,3,Lw,12.3,11,2,1,,,,,,
609_151,6,4,Bl,4.3,3.6,4,,,,,,,
609_151,6,5,Bl,5.7,4.3,4,,,,,,,
609_151,6,6,Lw,11.1,9.8,2,,,,,,,
609_151,7,1,Pw,8.8,4.9,4,,,,,,,
609_151,7,2,Lw,13.6,11.2,2,1,,,,,,
609_151,7,3,Fd,5.2,4.2,4,,,,,,,
609_151,7,4,Lw,13.7,8.6,2,1,,,,,,
609_151,8,1,Lw,13,9.3,2,1,,,,,,
609_151,8,2,Bl,11.8,7.8,3,,,,,,,
609_151,8,3,Lw,12.5,10.2,2,1,,,,,,
609_151,8,4,Lw,8.8,8.1,3,,1,,,,,
609_151,8,5,Lw,11.6,9.9,2,1,1,,,ok,,
609_151,9,1,Lw,13,10.5,2,1,,,,,,
609_151,9,2,Bl,5.9,5.3,3,,,,,,,
609_151,9,3,Lw,15.1,10.4,2,1,,,,,,
609_151,9,4,Bl,7.1,6.2,3,,,,,,,
609_151,9,5,Lw,9.1,8.3,3,,,,,,,
609_151,9,6,Lw,11.4,10.7,2,1,,,,,,
609_151,10,1,Lw,14.5,10.6,2,1,,,,,,
609_151,10,2,Lw,7.5,7.5,3,,,,,,,
609_151,10,3,Pl,13,10.3,2,1,,,,,,
609_151,10,4,Pl,13.8,9.9,2,1,,,,,,
609_151,10,5,Lw,15,10.5,2,1,,,,,,
609_151,10,6,Bl,6.5,4.9,3,,,,,,,
609_151,11,1,Lw,14.7,10.9,2,1,,,,,,
609_151,11,2,Pl,15.2,10,2,1,,,,,,
609_151,11,3,Lw,7.9,7.3,3,,,,,,,
609_151,11,4,Lw,14.4,10.5,2,1,,,,,,
609_151,11,5,Sx,7.5,5.2,3,1,,,,,,
609_151,11,6,Sx,5.2,4.5,4,1,,,,,,
609_151,11,7,Pl,17.5,11.8,2,1,,,,,,
835_063,1,1,Pl,15.9,10.6,2,1,,,,,,
835_063,1,2,Ls,12.5,8.7,2,,,,,,,
835_063,1,3,Ls,15,10.6,2,,,,,,,
835_063,1,4,Pl,13.1,10.9,2,1,,,,,,
835_063,1,5,Ls,14.8,10.8,2,,,,,,,
835_063,1,6,Ls,12.8,9.8,2,,,,,,,
835_063,1,7,Ls,9.8,8.9,2,,,3,,,,
835_063,1,8,Pl,15.5,11.1,2,1,,,1,DSS,,
835_063,1,9,Pl,7.9,8.1,3,,,,,,,
835_063,1,10,Pl,13.8,9.8,2,1,,,,,,
835_063,1,11,Sx,12.1,8.7,3,,,,,,,
835_063,1,12,Pl,8.4,8.7,2,1,,,,,,
835_063,2,1,Lw,14.8,11.1,2,1,,,,,,
835_063,2,2,Pl,14.6,6.9,3,,,,,,,
835_063,2,3,Pl,13.4,9.5,2,1,,,,,,
835_063,2,4,Lw,15.7,11.4,1,1,ck 1,,1,,,
835_063,2,5,Ls,13.3,9.5,2,,,,,,,
835_063,2,6,Ls,18.5,11.5,1,,,,,,,
835_063,2,7,Bl,8.1,8.2,3,,,,,,,
835_063,2,8,Pl,10.9,10,3,,,,,,,
835_063,2,9,Pl,12.2,11.2,2,1,,,,,,
835_063,2,10,Lw,12.5,9.8,2,1,,,,,,
835_063,2,11,Lw,17.5,12.7,1,1,,,,,,
835_063,2,12,Bl,7.2,6.4,3,,,,,,,
835_063,2,13,Sx,5.9,5.4,4,,,,,,,
835_063,2,14,Lw,14.8,11.9,1,1,,,,,,
835_063,3,1,Lw,12.6,11,2,1,,,,,,
835_063,3,2,Pl,7,9.2,3,,,,,,,
835_063,3,3,Pl,10.4,9.6,2,1,,,1,DSS,,
835_063,3,4,Pl,10.8,10.4,2,1,,,1,DSG,,
835_063,3,5,Bl,4.1,4.2,4,,,,,,,
835_063,3,6,Ls,19,13,1,,,,,,,
835_063,3,7,Pl,9.5,9.5,3,,,,,,,
835_063,3,8,Ls,16,11.1,2,,,,,,,
835_063,3,9,Ls,16.5,10.7,2,,3,,,twin header,,
835_063,3,10,Pl,7.7,9.3,3,,,,,,,
835_063,3,11,Pl,9.1,8.9,3,,,,1,DSS,,
835_063,3,12,Pl,10.1,10.6,2,,,,,,,
835_063,3,13,Pl,11.7,10,2,1,,,1,DSS,,
835_063,3,14,Pl,7.2,7.5,3,,,,,,,
835_063,3,15,Ls,8.3,10,2,,,,,,,
835_063,3,16,Pl,12,11.6,1,1,,,,,,
835_063,3,17,Pl,8.1,8.1,3,,,,1,DSS,,
835_063,3,18,Ls,14.8,11.5,2,,,,,,,
835_063,4,1,Bl,13.2,9.3,2,,,,,,,
835_063,4,2,Bl,7.3,6.5,3,,,,,,,
835_063,4,3,Bl,5.6,4.8,3,,,,,,,
835_063,4,4,Lw,11.9,10.4,2,1,,,,,,
835_063,4,5,Pl,15.6,9.7,2,1,,,,,,
835_063,4,6,Lw,4.2,6,3,,,,,,,
835_063,4,7,Bl,4.5,5,4,,,,,,,
835_063,4,8,Bl,7.4,6.6,3,,,,,,,
835_063,4,9,Ls,16.3,12.5,1,,3,,,twin leader,,
835_063,4,10,Sx,6.1,6,3,,,,,,,
835_063,4,11,Lw,7.3,6.3,3,,,,,,,
835_063,4,12,Bl,4,3.4,4,,,,,,,
835_063,4,13,Bl,4.1,4.3,4,,,,,,,
835_063,4,14,Bl,4.8,4.8,4,,,,,,,
835_063,4,15,Bl,4.2,3,4,,,,,,,
835_063,4,16,Bl,6.1,7.1,3,,,,,,,
835_063,4,17,Pl,14.8,11.4,2,1,,,,,,
835_063,4,18,Pl,14.5,12.5,1,1,,,,DSS,,
835_063,4,19,Lw,7.3,7.2,3,,,,,,,
835_063,4,20,Bl,7.8,7.9,3,,,,,,,
835_063,4,21,Bl,4.9,5.3,4,,,,,,,
835_063,4,22,Ls,7.8,8.4,3,,,,,,,
835_063,4,23,Pl,16.2,12.4,1,1,,,1,DSG,,
835_063,5,1,Ls,20.5,13.8,1,,,,,,,
835_063,5,2,Ls,13.7,11.9,2,,,,,,,
835_063,5,3,Ls,22.7,15.8,1,,,,,,,
835_063,5,4,Bl,9.4,7.1,3,,,,,,,
835_063,5,5,Pl,12.5,11.6,2,1,,,,,,
835_063,5,6,Ls,15.5,12.4,2,,,,,,,
835_063,5,7,Bl,10.1,7.9,3,,,,,,,
835_063,5,8,Pl,14,11.1,2,1,5,,,,,
835_063,5,9,Ls,14,11.5,2,,,,,,,
835_063,5,10,Ls,15.5,12.2,2,,,,,,,
835_063,5,11,Pl,9.9,9.5,3,,,,,,,
835_063,5,12,Pl,10.8,11.1,2,1,,,,,,
835_063,5,13,Pl,14,11.5,2,1,,,,,,
835_063,5,14,Pl,5,8.4,3,,,,,,,
835_063,5,15,Ls,9.5,9,3,,,,,,,
835_063,6,1,Lw,9.8,10.4,2,1,,,,,,
835_063,6,2,Lw,12,12.4,2,1,,,,,,
835_063,6,3,Bl,10.8,8.4,3,,,,,,,
835_063,6,4,Bl,5,4.5,4,,,,,,,
835_063,6,5,Bl,9,8.4,3,,,,,,,
835_063,6,6,Lw,12,11.8,2,1,,,,,,
835_063,6,7,Bl,5.9,5.1,4,,,,,,,
835_063,6,8,Lw,12.4,12.7,2,1,,,,,,
835_063,6,9,Lw,12.2,11.4,2,1,,,,,,
835_063,6,10,Bl,7.2,6.5,3,,,,,,,
835_063,6,11,Lw,7.7,9.7,3,,,,,,,
835_063,6,12,Bl,7.1,5.7,4,,,,,,,
835_063,6,13,Sx,7.2,4.6,4,,,,,,,
835_063,6,14,Lw,9.4,9.2,3,,,,,,,
835_063,6,15,Lw,10,10.5,2,1,,,,,,
835_063,6,16,Bl,14.5,10.2,2,,,,,,,
835_063,7,1,Pl,10.6,8.9,3,,,,,,,
835_063,7,2,Pl,10.4,9.5,2,1,,,,,,
835_063,7,3,Pl,11.8,9.9,2,1,,,,,,
835_063,7,4,Lw,20.6,13.7,1,1,,,,,,
835_063,7,5,Lw,15.7,11.6,2,1,,,,,,
835_063,7,6,Lw,15.5,10.7,2,1,,,,,,
835_063,7,7,Lw,15.7,11.9,2,1,,,,,,
835_063,7,8,Lw,19.3,12.9,2,1,,,,,,
835_063,7,9,Pl,6.4,5.4,1,,3,,,,,
835_063,7,10,Lw,14.5,10.9,2,1,,,,,,
835_063,8,1,Sx,12.5,8.9,2,,,,,,,
835_063,8,2,Lw,10.7,10.2,2,1,,,,,,
835_063,8,3,Pl,15.2,11.2,2,1,,,,,,
835_063,8,4,At,4.6,7,4,,3,,,,EST Ht,
835_063,8,5,Lw,11.7,9.5,2,1,,,,,,
835_063,8,6,Pl,13.2,8.9,3,,,,,,,
835_063,8,7,Lw,11,9.9,,1,,,,,,
292_067,1,1,Pl,12.8,10.6,2,1,,,,,,
292_067,1,2,Lw,14.8,12.5,1,1,,,,,,
292_067,1,3,Lw,16.9,12.3,2,1,,,,,,
292_067,1,4,Pl,5.9,8,3,,,,,,,
292_067,1,5,Lw,6.8,7.4,3,,,,,,,
292_067,1,6,Sx,4.4,4.3,4,,,,,,,
292_067,1,7,Lw,12,11.1,2,1,,,,,,
292_067,1,8,Lw,15.1,12.1,1,1,,,,,,
292_067,1,9,Bl,9.4,8.4,3,,,,,,,
292_067,1,10,Lw,11.8,10.5,2,1,,,,,,
292_067,1,11,Pl,7.9,8.5,3,,,,,,,
292_067,1,12,Pl,9.8,9.9,2,1,,,,,,
292_067,1,13,Lw,14.4,10.8,2,1,,,,,,
292_067,1,14,Pl,7,8.5,3,,,,,,,
292_067,1,15,Pl,4.4,6.7,4,,,,,DSS,,
292_067,1,16,Pl,9.4,9.5,2,1,2,,,spike,,
292_067,1,17,Pl,7.5,8.6,3,,,,,,,
292_067,1,18,Lw,8.9,9,3,,,,,,,
292_067,2,1,Pl,4.5,6,4,1,,,,lean ,est ht ,
292_067,2,2,Lw,8.7,9.6,2,,,,,,,
292_067,2,3,Pl,6.7,9.5,2,,,,,,,
292_067,2,4,Pl,5,8.5,3,,,,,,,
292_067,2,5,Pl,7.1,7.9,3,,3,,,,,
292_067,2,6,Pl,4.5,6.5,3,,,,,DSG,,
292_067,2,7,Bl,4.3,4.3,4,,,,,,,
292_067,2,8,Pl,6.9,8.2,3,,,,,,,
292_067,2,9,Pl,5.7,8.5,3,,,,,,,
292_067,2,10,Pl,4.2,7.4,3,,3,,,,,
292_067,2,11,Lw,11.7,9.4,2,1,,,,,,
292_067,2,12,Pl,5.4,2.8,4,,2,,,DSG,,
292_067,2,13,Pl,6.3,8.3,3,,,,,,,
292_067,2,14,Pl,7.3,9.9,2,,,,,,,
292_067,2,15,Pl,5.7,7.5,3,,,,,,,
292_067,2,16,Pl,6.6,9.3,2,,,,,,,
292_067,2,17,Pl,7.8,9.2,2,1,,,,,,
292_067,2,18,Lw,11.8,10.9,2,1,,,,,,
292_067,2,19,Pl,7.5,7.8,3,,,,,,,
292_067,2,20,Pl,8.1,8.7,2,1,,,,,,
292_067,2,21,Lw,11.3,10.5,2,1,,,,,,
292_067,2,22,Pl,5.5,8.2,3,,,,,,,
292_067,2,23,Pl,6.5,9.2,2,,,,,DSS,DSG,
292_067,2,24,Pl,5,7.7,3,,,,,,DSG,
292_067,2,25,Pl,8,9.9,2,1,,,,,,
292_067,2,26,Pl,9.4,8.8,2,,ck3,,,,,
292_067,2,27,Lw,12,10.7,1,1,,,,,,
292_067,2,28,Pl,10.7,9.4,2,1,,,,,,
292_067,2,29,Lw,12.2,9.2,2,1,ck3,,,,,
292_067,2,30,Pl,9.3,9.3,2,1,,,,,,
292_067,3,1,Ls,9.8,8.1,2,1,,,,,,
292_067,3,2,Pl,8.1,9.3,2,1,,,,,,
292_067,3,3,Pl,7.6,9.4,2,1,,,,,,
292_067,3,4,Lw,12.7,11.8,1,1,,,,,,
292_067,3,5,Lw,13.4,11.1,1,1,,,,,,
292_067,3,6,Pl,12.2,8.9,2,,3,,,,,
292_067,3,7,Pl,10.6,10,2,1,,,,AB,,
292_067,3,8,Pl,9.5,9.4,2,1,,,,,,
292_067,3,9,Lw,5.8,7.5,3,,,,,,,
292_067,3,10,Lw,6.8,8.4,3,,,,,,,
292_067,3,11,Pl,12.6,9.7,2,1,,,,,,
292_067,3,12,Pl,8.2,9.5,2,1,,,,,,
292_067,3,13,Lw,5,5.1,4,,,3,,,,
292_067,3,14,Pl,11,10,2,1,,,,,,
292_067,3,15,Pl,7.2,7.5,3,,2,,,,,
292_067,3,16,Pl,7,6.8,3,,2,,,,,
292_067,3,17,Lw,12.8,10.9,2,1,,,,,,
292_067,3,18,Pl,7.7,8.5,3,,,,,,,
292_067,3,19,Bl,7,7.5,3,,,,,,,
292_067,3,20,Bl,10,8.9,2,1,,,,,,
292_067,3,21,Pl,4,6.8,3,,,,1,DSG,,
292_067,3,22,Pl,9,9.8,2,1,,,,,,
292_067,3,23,Lw,4.7,4.8,4,1,,,,,,
292_067,3,24,Bl,8.4,10.8,2,1,,,,,,
292_067,3,25,Pl,10.1,10.6,2,1,,,,,,
292_067,4,1,Lw,12.2,9.6,2,1,,,,,,
292_067,4,2,Pl,8.2,8.8,2,1,,,,,,
292_067,4,3,Pl,9.4,8.9,2,1,,,,,,
292_067,4,4,Pl,11.5,8.6,2,1,,,,,,
292_067,4,5,Lw,15.6,9.9,1,1,,,,,,
292_067,4,6,Pl,6.4,7,4,,,,,est hgt ,,
292_067,4,7,Lw,11.2,9.8,1,1,,,,,,
292_067,4,8,Lw,12.7,10.2,1,1,,,,,,
292_067,4,9,Pl,14.7,10.5,1,1,,,,,,
292_067,4,10,Pl,4.2,6.2,4,,,3,,DSG,,
292_067,4,11,Bl,9.8,9.2,2,,,,,,,
292_067,4,12,Lw,13.2,10.1,2,1,,,,,,
411_1A,1,1,Pl,14.1,11.5,2,1,1,,,,OK,
411_1A,1,2,Pl,14.5,12.4,2,1,,,,,,
411_1A,1,3,Pl,11.7,11.8,2,1,,,,DSS,DSG,
411_1A,1,4,Lw,13.7,13.5,2,1,,,,,,
411_1A,1,5,Sx,4.4,4.3,4,,,,,,,
411_1A,1,6,Pl,16.3,11.1,2,,3,,,,,
411_1A,1,7,Lw,16.5,14.3,1,1,1,,,,,
411_1A,1,8,Pl,15,12.1,2,,4,,,,,
411_1A,1,9,Lw,11,13,1,1,,,,,DSG,
411_1A,1,10,Pl,5.6,8.2,3,,,,,,,
411_1A,2,1,Pl,14.2,12.5,1,1,,,,IBM green,,
411_1A,2,2,Py,6,7.4,3,,,,,,,
411_1A,2,3,Pl,17.5,12.2,2,,2,,,DSG,,
411_1A,2,4,Pl,17.1,12.5,1,1,2,,,,OK,
411_1A,2,5,Fd,4.8,4.4,4,,,,,,,
411_1A,2,6,Pl,13.7,12.4,2,1,,,,,,
411_1A,2,7,Pl,10.7,11.6,2,,3,,,,OK,
411_1A,2,8,Py,8.9,10.5,2,1,3,,,,OK,
411_1A,2,9,Bl,6.5,6.4,4,,,,,,,
411_1A,2,10,Pl,12.5,10.9,2,1,,,,,,
411_1A,2,11,Bl,5.8,7.2,3,,,,,,,
411_1A,2,12,Pl,10.9,11.7,2,,,,,,,
411_1A,3,1,Pl,17.7,12,2,,3,,,,DSG,
